key,doi,title,year,journal,primary_pillar,best_method,confidence,all_pillars,methods_present,cited_by_reviews,rule_hits
10.1021/jo00298a030,10.1021/jo00298a030,Resolution of a chiral ester by lipase-catalyzed transesterification with polyethylene glycol in organic media,1990.0,The Journal of Organic Chemistry,Reaction Space & Enzyme Portfolios,paper_only,1.0,Reaction Space & Enzyme Portfolios,paper_only,12_Carrea_2000_ACIE,P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1021/jo00328a031,10.1021/jo00328a031,Practical approach to high-yield enzymic stereospecific organic synthesis in multiphase systems,1981.0,The Journal of Organic Chemistry,Biocatalyst Formats & Cellular Context,section_only,1.0,Biocatalyst Formats & Cellular Context,section_only,08_Schmid_2001_Nature,
10.1021/jo00362a045,10.1021/jo00362a045,Biphasic one-pot synthesis of two useful and separable compounds using cofactor-requiring enzymatic reactions: glutamate dehydrogenase catalyzed synthesis of L-.alpha.-aminoadipate coupled with alcohol dehydrogenase catalyzed synthesis of a chiral lactone,1986.0,The Journal of Organic Chemistry,Biocatalyst Formats & Cellular Context,section_only,1.0,Biocatalyst Formats & Cellular Context,section_only,17_Schrittwieser_2018_ChemRev,P4:\btwo[- ]liquid[- ]phase\b|\bbiphasic\b|\bmicro[- ]aqueous\b|\bpartition(ing)?\b; P6:\bcofactors?\b|\bNADP?\+?\b|\bNADH\b|\bNADPH\b|\bflavins?\b|\bFAD\b|\bFMN\b|\bPLP\b; P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b
10.1021/jo00389a035,10.1021/jo00389a035,Fumarase-catalyzed synthesis of L-threo-chloromalic acid and its conversion to 2-deoxy-D-ribose and D-erythro-sphingosine,1987.0,The Journal of Organic Chemistry,Biocatalyst Formats & Cellular Context,section_only,1.0,Biocatalyst Formats & Cellular Context,section_only,11_Hanefeld_2022_ChemSocRev,
10.1021/jo015761e,10.1021/jo015761e,Improved Preparation and Use of Room-Temperature Ionic Liquids in Lipase-Catalyzed Enantio- and Regioselective Acylations,2001.0,The Journal of Organic Chemistry,Media & Microenvironment,paper_only,0.571,Media & Microenvironment,paper_only,02_Sheldon_2018_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1021/jo201056f,10.1021/jo201056f,Biocatalytic Organic Synthesis of Optically Pure (<i>S</i>)-Scoulerine and Berbine and Benzylisoquinoline Alkaloids,2011.0,The Journal of Organic Chemistry,Cofactor & Energy Management,section_only,1.0,Cofactor & Energy Management,section_only,17_Schrittwieser_2018_ChemRev,
10.1021/jo302484p,10.1021/jo302484p,Chemoenzymatic Asymmetric Synthesis of Pregabalin Precursors via Asymmetric Bioreduction of β-Cyanoacrylate Esters Using Ene-Reductases,2013.0,The Journal of Organic Chemistry,Reaction Space & Enzyme Portfolios,section_priority,1.0,Reaction Space & Enzyme Portfolios,section_priority,04_Winkler_2021_ACSCentSci;09_Bommarius_2015_AnnuRevChemBiomolEng,P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b
10.1021/jo802495f,10.1021/jo802495f,Asymmetric Synthesis of Both Antipodes of β-Hydroxy Nitriles and β-Hydroxy Carboxylic Acids via Enzymatic Reduction or Sequential Reduction/Hydrolysis,2009.0,The Journal of Organic Chemistry,Reaction Space & Enzyme Portfolios,section_only,1.0,Reaction Space & Enzyme Portfolios,section_only,17_Schrittwieser_2018_ChemRev,
10.1021/jo901046k,10.1021/jo901046k,Directed Evolution of Enantioselective Enzymes: An Unconventional Approach to Asymmetric Catalysis in Organic Chemistry,2009.0,The Journal of Organic Chemistry,Design & Engineering,paper_only,1.0,Design & Engineering,paper_only,02_Sheldon_2018_ChemRev,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b
10.1021/jo9027374,10.1021/jo9027374,Chemoenzymatic Synthesis of Rivastigmine via Dynamic Kinetic Resolution as a Key Step,2010.0,The Journal of Organic Chemistry,Cofactor & Energy Management,section_priority,1.0,Cofactor & Energy Management,section_priority,17_Schrittwieser_2018_ChemRev,P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b
10.1021/jo970838d,10.1021/jo970838d,A Three-Dimensional Predictive Active Site Model for Lipase from <i>Pseudomonas cepacia</i>,1997.0,The Journal of Organic Chemistry,Reaction Space & Enzyme Portfolios,paper_only,1.0,Reaction Space & Enzyme Portfolios,paper_only,12_Carrea_2000_ACIE,P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1021/jp003309d,10.1021/jp003309d,High-Pressure Phase Behavior of Ionic Liquid/CO<sub>2</sub> Systems,2001.0,The Journal of Physical Chemistry B,Media & Microenvironment,paper_only,1.0,Media & Microenvironment,paper_only,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1021/jp037303a,10.1021/jp037303a,Adsorption of Lysozyme over Mesoporous Molecular Sieves MCM-41 and SBA-15: Influence of pH and Aluminum Incorporation,2004.0,The Journal of Physical Chemistry B,Immobilization & Materials,paper_only,1.0,Immobilization & Materials,paper_only,16_Britton_2018_ChemSocRev,P5:\bCLEA(s)?\b|\bCLEC(s)?\b|\bsol[- ]gel\b|\bhydrogel(s)?\b|\bmesoporous\b|\bEziG\b|\bMOF(s)?\b|\bmagnetic nanoparticles?\b; P5:\bAmberlite\b|\bLewatit\b|\bSepabeads?\b|\bSilica gel\b|\bSBA-15\b|\bMCM-41\b
10.1021/jp053946+,10.1021/jp053946+,How Polar Are Ionic Liquids? Determination of the Static Dielectric Constant of an Imidazolium-based Ionic Liquid by Microwave Dielectric Spectroscopy,2005.0,The Journal of Physical Chemistry B,Media & Microenvironment,consensus,1.0,Media & Microenvironment,consensus,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1021/ma971297x,10.1021/ma971297x,Lipase-Catalyzed Synthesis of Methyl 6-<i>O</i>-Poly(ε-caprolactone)glycopyranosides,1998.0,Macromolecules,Reaction Space & Enzyme Portfolios,paper_only,1.0,Reaction Space & Enzyme Portfolios,paper_only,12_Carrea_2000_ACIE,P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1021/np960239m,10.1021/np960239m,A Two-Step Efficient Chemoenzymatic Synthesis of Flavonoid Glycoside Malonates,1996.0,Journal of Natural Products,Cascade & Route Design,paper_only,1.0,Cascade & Route Design,paper_only,12_Carrea_2000_ACIE,P7:\bone[- ]pot\b|\btandem\b|\bchemo[- ]?enzymatic\b|\bchemoenzymatic\b
10.1021/ol005593x,10.1021/ol005593x,Cross-Linked Enzyme Aggregates: A Simple and Effective Method for the Immobilization of Penicillin Acylase,2000.0,Organic Letters,Immobilization & Materials,paper_only,1.0,Immobilization & Materials,paper_only,02_Sheldon_2018_ChemRev;15_Sheldon_2013_ChemSocRev,P5:\bimmobiliz\w*|\breus(e|ability)\b; P5:\boriented immobiliz\w*\b|\bcross[- ]link(ed|ing)\b|\bfunctionaliz(ed|ation)\b|\bsite[- ]directed attachment\b
10.1021/ol015824f,10.1021/ol015824f,Biocatalysis in Ionic Liquids: Markedly Enhanced Enantioselectivity of Lipase,2001.0,Organic Letters,Media & Microenvironment,paper_only,0.571,Media & Microenvironment,paper_only,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b; P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1021/op000054t,10.1021/op000054t,Green Chemistry By Paul T. Anastas and John C. Warner. Oxford University Press: Oxford. 2000. Paperback. 135 pp. £14.99. ISBN 0-19-850698-9.,1998.0,Organic Process Research & Development,Immobilization & Materials,section_priority,1.0,Immobilization & Materials,section_priority,04_Winkler_2021_ACSCentSci,P10:\bPMI\b|\bprocess mass intensity\b|\bE[- ]?factor\b|\batom economy\b|\bgreen (chemistry|metrics)\b
10.1021/op0340311,10.1021/op0340311,Concepts of Nature in Organic Synthesis: Cascade Catalysis and Multistep Conversions in Concert,2003.0,Organic Process Research & Development,Cofactor & Energy Management,section_priority,1.0,Cofactor & Energy Management,section_priority,17_Schrittwieser_2018_ChemRev,P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b
10.1021/op1002159,10.1021/op1002159,Multienzyme-Catalyzed Processes: Next-Generation Biocatalysis,2011.0,Organic Process Research & Development,Cofactor & Energy Management,section_only,1.0,Cofactor & Energy Management,section_only,17_Schrittwieser_2018_ChemRev,
10.1021/op300153b,10.1021/op300153b,Use of Enzymes in the Manufacture of Active Pharmaceutical Ingredients—A Science and Safety-Based Approach To Ensure Patient Safety and Drug Quality,2012.0,Organic Process Research & Development,Biocatalyst Formats & Cellular Context,section_only,1.0,Biocatalyst Formats & Cellular Context,section_only,18_Wachtmeister_2016_CurrOpinBiotechnol,
10.1021/op300159y,10.1021/op300159y,Continuous Processing in the Manufacture of Active Pharmaceutical Ingredients and Finished Dosage Forms: An Industry Perspective,2012.0,Organic Process Research & Development,"Reactors, Flow & In-Line Operations",paper_only,1.0,"Reactors, Flow & In-Line Operations",paper_only,02_Sheldon_2018_ChemRev;16_Britton_2018_ChemSocRev,P8:\bflow\b|\bcontinuous\b|\bCSTR\b|\bPFR\b|\bplug[- ]flow\b|\bpacked[- ]bed\b|\bPBR\b|\bcolumn reactor\b
10.1021/op400085a,10.1021/op400085a,Mass Transport and Reactions in the Tube-in-Tube Reactor,2013.0,Organic Process Research & Development,"Reactors, Flow & In-Line Operations",paper_only,1.0,"Reactors, Flow & In-Line Operations",paper_only,02_Sheldon_2018_ChemRev,P8:\bmicroreactor\b|\bmicrofluidic\b|\bmillifluidic\b|\btube[- ]in[- ]tube\b|\bloop reactor\b
10.1021/op700158k,10.1021/op700158k,"Industrial Biotransformations, 2nd Completely Revised and Extended Edition. A. Liese , K. Seelbach , and C. Wandrey , Eds. Wiley-VCH : Weinheim . 2006 . 556 + xiv pp. £149.00. ISBN 3-527-31001-0 .",2010.0,Organic Process Research & Development,Immobilization & Materials,section_priority,1.0,Immobilization & Materials,section_priority,05_Reetz_2013_JACS,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1021/op9000059,10.1021/op9000059,Enzyme Stabilization by Deposition of Silicone Coatings,2009.0,Organic Process Research & Development,Immobilization & Materials,section_only,1.0,Immobilization & Materials,section_only,15_Sheldon_2013_ChemSocRev,
10.1021/op900272d,10.1021/op900272d,Development of a Biocatalytic Process as an Alternative to the (−)-DIP-Cl-Mediated Asymmetric Reduction of a Key Intermediate of Montelukast,2010.0,Organic Process Research & Development,Design & Engineering,section_only,0.343,Design & Engineering,section_only,01_Bornscheuer_2012_Nature;04_Winkler_2021_ACSCentSci,
10.1021/op9700643,10.1021/op9700643,Penicillin Acylase in the Industrial Production of β-Lactam Antibiotics,1998.0,Organic Process Research & Development,"Sustainability, Metrics & Industrialization",consensus,0.805,"Sustainability, Metrics & Industrialization",consensus,01_Bornscheuer_2012_Nature,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1021/sb300037w,10.1021/sb300037w,Reducing Codon Redundancy and Screening Effort of Combinatorial Protein Libraries Created by Saturation Mutagenesis,2013.0,ACS Synthetic Biology,Design & Engineering,consensus,1.0,Design & Engineering,consensus,03_Bell_2021_NatRevMethodsPrimers,P2:\bsite[- ]saturation\b|\bsaturation mutagenesis\b|\bNDT\b|\bVHG\b|\b22c[- ]?trick\b|\bNNK\b|\bCAST\b|\bISM\b
10.1023/a:1016205924504,10.1023/a:1016205924504,Enzymatic resolution of amino acid esters using ionic liquid N-ethyl pyridinium trifluoroacetate,2002.0,Biotechnology Letters,Media & Microenvironment,paper_only,1.0,Media & Microenvironment,paper_only,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1023/a:1021305229969,10.1023/a:1021305229969,Oxidative enzymes possess catalytic activity in systems with ionic liquids,2002.0,Biotechnology Letters,Media & Microenvironment,paper_only,1.0,Media & Microenvironment,paper_only,13_Sheldon_2007_ChemRev,P4:\bionic liquids?\b|\bILs?\b|\bdeep eutectic\b|\bDES\b|\bsupercritical CO2\b|\bscCO2\b
10.1038/35051719,10.1038/35051719,Improving enzymes by using them in organic solvents,2001.0,Nature,Biocatalyst Formats & Cellular Context,section_priority,1.0,Biocatalyst Formats & Cellular Context,section_priority,11_Hanefeld_2022_ChemSocRev;16_Britton_2018_ChemSocRev,P4:\borganic solvent(s)?\b|\bsolvent[- ]toleran\w*|\bcosolvents?\b|\blog ?P\b
10.1038/35051731,10.1038/35051731,Combinatorial and computational challenges for biocatalyst design,2001.0,Nature,"Sustainability, Metrics & Industrialization",section_only,0.61,"Sustainability, Metrics & Industrialization",section_only,01_Bornscheuer_2012_Nature,
10.1038/35051736,10.1038/35051736,Industrial biocatalysis today and tomorrow,2001.0,Nature,"Sustainability, Metrics & Industrialization",paper_priority,1.0,"Sustainability, Metrics & Industrialization",paper_priority,01_Bornscheuer_2012_Nature;11_Hanefeld_2022_ChemSocRev,P10:\bindustrial\b|\bscale[- ]?up\b|\bGMP\b|\bICH\b|\bQbD\b|\bHAZOP\b|\bTRL\b|\bprocess validation\b
10.1038/351491a0,10.1038/351491a0,A model for interfacial activation in lipases from the structure of a fungal lipase-inhibitor complex,1991.0,Nature,Reaction Space & Enzyme Portfolios,paper_only,1.0,Reaction Space & Enzyme Portfolios,paper_only,20_Buller_2023_Science,P9:\bglycosyl(transferase|ation)\b|\bglycosidase\b|\bnitrilase\b|\bnitrile hydratase\b|\bepoxide hydrolase\b|\blipase\b|\besterase\b
10.1038/370389a0,10.1038/370389a0,Rapid evolution of a protein in vitro by DNA shuffling,1994.0,Nature,Design & Engineering,paper_priority,1.0,Design & Engineering,paper_priority,02_Sheldon_2018_ChemRev;03_Bell_2021_NatRevMethodsPrimers;07_Turner_2009_NatChemBiol,P2:\bconsensus\b|\bancestral\b|\bDNA shuffling\b|\bSCHEMA\b|\bProSAR\b|\bdeep mutational scanning\b|\bDMS\b
10.1038/nature06032,10.1038/nature06032,Selection and evolution of enzymes from a partially randomized non-catalytic scaffold,2007.0,Nature,Design & Engineering,section_priority,1.0,Design & Engineering,section_priority,07_Turner_2009_NatChemBiol;20_Buller_2023_Science,P1:\bmetagenome[- ]assembled genomes?\b|\bMAGs?\b|\bbinn?ing\b|\bcontigs?\b|\bscaffolds?\b|\bassembly\b
10.1038/nature06879,10.1038/nature06879,Kemp elimination catalysts by computational enzyme design,2008.0,Nature,Design & Engineering,section_only,0.785,Design & Engineering,section_only,01_Bornscheuer_2012_Nature;07_Turner_2009_NatChemBiol,
10.1038/nature09929,10.1038/nature09929,A system for the continuous directed evolution of biomolecules,2011.0,Nature,Design & Engineering,section_only,1.0,Design & Engineering,section_only,01_Bornscheuer_2012_Nature,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b; P8:\bflow\b|\bcontinuous\b|\bCSTR\b|\bPFR\b|\bplug[- ]flow\b|\bpacked[- ]bed\b|\bPBR\b|\bcolumn reactor\b
10.1038/nature11117,10.1038/nature11117,Engineering the third wave of biocatalysis,2012.0,Nature,Design & Engineering,section_only,0.517,Design & Engineering,section_only,03_Bell_2021_NatRevMethodsPrimers;09_Bommarius_2015_AnnuRevChemBiomolEng;15_Sheldon_2013_ChemSocRev;20_Buller_2023_Science,
10.1038/nature24996,10.1038/nature24996,Genetically programmed chiral organoborane synthesis,2017.0,Nature,Media & Microenvironment,section_only,1.0,Media & Microenvironment,section_only,06_Arnold_2018_ACIE;11_Hanefeld_2022_ChemSocRev,
10.1038/nbt.2149,10.1038/nbt.2149,Design of a dynamic sensor-regulator system for production of chemicals and fuels derived from fatty acids,2012.0,Nature Biotechnology,Design & Engineering,section_only,1.0,Design & Engineering,section_only,10_Yi_2021_ChemSocRev,
10.1038/nbt.2689,10.1038/nbt.2689,Engineering dynamic pathway regulation using stress-response promoters,2013.0,Nature Biotechnology,Design & Engineering,section_only,1.0,Design & Engineering,section_only,10_Yi_2021_ChemSocRev,
10.1038/nbt0491-367,10.1038/nbt0491-367,Bioconversion of N-Octane to Octanoic Acid by a Recombinant Escherichia Coli Cultured in a Two-Liquid Phase Bioreactor,1991.0,Nature Biotechnology,Biocatalyst Formats & Cellular Context,section_priority,1.0,Biocatalyst Formats & Cellular Context,section_priority,08_Schmid_2001_Nature,P4:\btwo[- ]liquid[- ]phase\b|\bbiphasic\b|\bmicro[- ]aqueous\b|\bpartition(ing)?\b
10.1038/nbt0798-652,10.1038/nbt0798-652,Man-made cell-like compartments for molecular evolution,1998.0,Nature Biotechnology,Design & Engineering,section_priority,1.0,Design & Engineering,section_priority,10_Yi_2021_ChemSocRev,P7:\bcompartment\w*\b|\bmembrane[- ]?separated\b|\bin situ product removal\b|\bISPR\b
10.1038/nbt0897-789,10.1038/nbt0897-789,Biocatalytic plastics as active and stable materials for biotransformations,1997.0,Nature Biotechnology,Media & Microenvironment,section_only,1.0,Media & Microenvironment,section_only,08_Schmid_2001_Nature,
10.1038/nbt1286,10.1038/nbt1286,Improving catalytic function by ProSAR-driven enzyme evolution,2007.0,Nature Biotechnology,Design & Engineering,consensus,1.0,Design & Engineering,consensus,02_Sheldon_2018_ChemRev;07_Turner_2009_NatChemBiol,P2:\bconsensus\b|\bancestral\b|\bDNA shuffling\b|\bSCHEMA\b|\bProSAR\b|\bdeep mutational scanning\b|\bDMS\b
10.1038/nbt833,10.1038/nbt833,Engineering a mevalonate pathway in Escherichia coli for production of terpenoids,2003.0,Nature Biotechnology,Cascade & Route Design,section_only,1.0,Cascade & Route Design,section_only,19_Lin_2017_MicrobCellFact,
10.1038/nchem.2408,10.1038/nchem.2408,Chiral cascades,2015.0,Nature Chemistry,Reaction Space & Enzyme Portfolios,section_only,1.0,Reaction Space & Enzyme Portfolios,section_only,17_Schrittwieser_2018_ChemRev,
10.1038/nchem.2459,10.1038/nchem.2459,Substrate channelling as an approach to cascade reactions,2016.0,Nature Chemistry,Biocatalyst Formats & Cellular Context,section_priority,1.0,Biocatalyst Formats & Cellular Context,section_priority,17_Schrittwieser_2018_ChemRev,P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b
10.1038/nchem.2474,10.1038/nchem.2474,Discovery of a regioselectivity switch in nitrating P450s guided by molecular dynamics simulations and Markov models,2016.0,Nature Chemistry,Design & Engineering,paper_only,1.0,Design & Engineering,paper_only,11_Hanefeld_2022_ChemSocRev,P2:\b(active[- ]?site|tunnel|pocket)\s+(engineering|mutation|remodel(ing)?)\b|\bQM/?MM\b|\bRosetta\b|\bFoldX\b|\bmolecular dynamics\b|\bMD simulation\b
10.1038/nchem.2596,10.1038/nchem.2596,Emergence of a catalytic tetrad during evolution of a highly active artificial aldolase,2017.0,Nature Chemistry,Design & Engineering,section_priority,1.0,Design & Engineering,section_priority,10_Yi_2021_ChemSocRev;20_Buller_2023_Science,P9:\baldolase\b|\bDERA\b|\bFSA\b|\bHNL\b|\bThDP\b|\btransketolase\b|\bTK\b|\bPAL\b|\baldoxime dehydratase\b|\bCAR\b
10.1038/nchem.2690,10.1038/nchem.2690,Photoredox activation of carbon dioxide for amino acid synthesis in continuous flow,2016.0,Nature Chemistry,"Reactors, Flow & In-Line Operations",paper_only,0.605,"Reactors, Flow & In-Line Operations",paper_only,16_Britton_2018_ChemSocRev,P6:\belectro(enzym\w*|chemical)\b|\bphotoenzym\w*\b|\bphotoredox\b|\bhydrogen[- ]borrowing\b; P8:\bflow\b|\bcontinuous\b|\bCSTR\b|\bPFR\b|\bplug[- ]flow\b|\bpacked[- ]bed\b|\bPBR\b|\bcolumn reactor\b
10.1038/nchem.2783,10.1038/nchem.2783,"Enantioselective, intermolecular benzylic C–H amination catalysed by an engineered iron-haem enzyme",2017.0,Nature Chemistry,Media & Microenvironment,section_only,1.0,Media & Microenvironment,section_only,06_Arnold_2018_ACIE;11_Hanefeld_2022_ChemSocRev,
10.1038/nchembio.1235,10.1038/nchembio.1235,Biocatalytic retrosynthesis,2013.0,Nature Chemical Biology,Cascade & Route Design,section_only,1.0,Cascade & Route Design,section_only,03_Bell_2021_NatRevMethodsPrimers;20_Buller_2023_Science,
10.1038/nchembio.1278,10.1038/nchembio.1278,A serine-substituted P450 catalyzes highly efficient carbene transfer to olefins in vivo,2013.0,Nature Chemical Biology,Reaction Space & Enzyme Portfolios,consensus,1.0,Reaction Space & Enzyme Portfolios,consensus,09_Bommarius_2015_AnnuRevChemBiomolEng,P9:\bBVMO\b|\bmonooxygenase\b|\bperoxygenase\b|\bP450\b|\bhalogenase\b|\bflavin[- ]dependent\b; P9:\bcarbene transfer\b|\bnitrene transfer\b|\bartificial metalloenzyme\b|\bengineered heme\b
10.1038/nchembio.1439,10.1038/nchembio.1439,An orthogonal DNA replication system in yeast,2014.0,Nature Chemical Biology,"Reactors, Flow & In-Line Operations",section_only,1.0,"Reactors, Flow & In-Line Operations",section_only,03_Bell_2021_NatRevMethodsPrimers,
10.1038/nchembio.1978,10.1038/nchembio.1978,High-throughput analysis and protein engineering using microcapillary arrays,2016.0,Nature Chemical Biology,Design & Engineering,section_only,1.0,Design & Engineering,section_only,10_Yi_2021_ChemSocRev,
10.1038/nchembio.203,10.1038/nchembio.203,Directed evolution drives the next generation of biocatalysts,2009.0,Nature Chemical Biology,Design & Engineering,paper_only,1.0,Design & Engineering,paper_only,02_Sheldon_2018_ChemRev,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b
10.1038/nchembio.2474,10.1038/nchembio.2474,Continuous directed evolution of aminoacyl-tRNA synthetases,2017.0,Nature Chemical Biology,"Reactors, Flow & In-Line Operations",section_only,1.0,"Reactors, Flow & In-Line Operations",section_only,03_Bell_2021_NatRevMethodsPrimers,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b; P8:\bflow\b|\bcontinuous\b|\bCSTR\b|\bPFR\b|\bplug[- ]flow\b|\bpacked[- ]bed\b|\bPBR\b|\bcolumn reactor\b
10.1038/nchembio0809-526,10.1038/nchembio0809-526,Finding better protein engineering strategies,2009.0,Nature Chemical Biology,"Sustainability, Metrics & Industrialization",section_only,0.61,"Sustainability, Metrics & Industrialization",section_only,01_Bornscheuer_2012_Nature,
10.1038/ncomms10008,10.1038/ncomms10008,Ultrahigh-throughput discovery of promiscuous enzymes by picodroplet functional metagenomics,2015.0,Nature Communications,Design & Engineering,section_priority,1.0,Design & Engineering,section_priority,10_Yi_2021_ChemSocRev,P1:\bgenome mining\b|\bmetagenom\w*\b|\bbioprospect\w*\b|\bbiopanning\b; P7:\bcompartment\w*\b|\bmembrane[- ]?separated\b|\bin situ product removal\b|\bISPR\b; P8:\bmicroreactor\b|\bmicrofluidic\b|\bmillifluidic\b|\btube[- ]in[- ]tube\b|\bloop reactor\b
10.1038/ncomms10390,10.1038/ncomms10390,Total biosynthesis of opiates by stepwise fermentation using engineered Escherichia coli,2016.0,Nature Communications,Cascade & Route Design,paper_only,0.526,Cascade & Route Design,paper_only,10_Yi_2021_ChemSocRev,P4:\bwater activity\b|\ba[_ ]?w\b|\bpH memory\b|\bosmolytes?\b|\bstabilizers?\b|\btrehalose\b|\bglycerol\b; P7:\b(retro)?biosynthesis\b|\bCASP\b|\bpathway design\b|\broute scouting\b
10.1038/ng1482,10.1038/ng1482,The 'evolvability' of promiscuous protein functions,2004.0,Nature Genetics,Design & Engineering,section_only,1.0,Design & Engineering,section_only,07_Turner_2009_NatChemBiol,
10.1038/nmeth.3696,10.1038/nmeth.3696,Engineering an allosteric transcription factor to respond to new ligands,2016.0,Nature Methods,Design & Engineering,section_only,1.0,Design & Engineering,section_only,10_Yi_2021_ChemSocRev,
10.1038/nmeth1207-991,10.1038/nmeth1207-991,Protein engineers turned evolutionists,2007.0,Nature Methods,Design & Engineering,section_only,1.0,Design & Engineering,section_only,07_Turner_2009_NatChemBiol,
10.1038/nnano.2014.100,10.1038/nnano.2014.100,Multi-enzyme complexes on DNA scaffolds capable of substrate channelling with an artificial swinging arm,2014.0,Nature Nanotechnology,Cascade & Route Design,paper_only,0.65,Cascade & Route Design,paper_only,16_Britton_2018_ChemSocRev,P1:\bmetagenome[- ]assembled genomes?\b|\bMAGs?\b|\bbinn?ing\b|\bcontigs?\b|\bscaffolds?\b|\bassembly\b; P7:\b(cascade|multi[- ]enzym\w*)\b|\btelescop(ed|ing)\b
10.1038/nprot.2007.72,10.1038/nprot.2007.72,Iterative saturation mutagenesis (ISM) for rapid directed evolution of functional enzymes,2007.0,Nature Protocols,Design & Engineering,consensus,1.0,Design & Engineering,consensus,09_Bommarius_2015_AnnuRevChemBiomolEng,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b; P2:\bsite[- ]saturation\b|\bsaturation mutagenesis\b|\bNDT\b|\bVHG\b|\b22c[- ]?trick\b|\bNNK\b|\bCAST\b|\bISM\b
10.1038/nrm2805,10.1038/nrm2805,Exploring protein fitness landscapes by directed evolution,2009.0,Nature Reviews Molecular Cell Biology,Media & Microenvironment,section_priority,1.0,Media & Microenvironment,section_priority,06_Arnold_2018_ACIE,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b
10.1038/s41396-018-0215-9,10.1038/s41396-018-0215-9,Metagenomics reveals functional synergy and novel polysaccharide utilization loci in the <i>Castor canadensis</i> fecal microbiome,2018.0,The ISME Journal,Discovery & Sourcing of Biocatalysts,consensus,1.0,Discovery & Sourcing of Biocatalysts,consensus,03_Bell_2021_NatRevMethodsPrimers,P1:\bgenome mining\b|\bmetagenom\w*\b|\bbioprospect\w*\b|\bbiopanning\b
10.1038/s41467-017-00425-7,10.1038/s41467-017-00425-7,RNA-aptamers-in-droplets (RAPID) high-throughput screening for secretory phenotypes,2017.0,Nature Communications,Design & Engineering,section_priority,1.0,Design & Engineering,section_priority,10_Yi_2021_ChemSocRev,P8:\bmicroreactor\b|\bmicrofluidic\b|\bmillifluidic\b|\btube[- ]in[- ]tube\b|\bloop reactor\b
10.1038/s41467-017-00511-w,10.1038/s41467-017-00511-w,Engineering a riboswitch-based genetic platform for the self-directed evolution of acid-tolerant phenotypes,2017.0,Nature Communications,Design & Engineering,paper_only,1.0,Design & Engineering,paper_only,10_Yi_2021_ChemSocRev,P2:\bdirected evolution\b|\berror[- ]?prone PCR\b|\bcontinuous evolution\b|\b(PACE|OrthoRep)\b
