key,pillar_num,pillar,method,confidence,doi,title,year,raw_citation,cited_by_reviews,authors,journal
10.1038/s41467-018-03492-6,2,Design & Engineering,paper_only,1.0,10.1038/s41467-018-03492-6,Efficient molecular evolution to generate enantioselective enzymes using a dual-channel microfluidic droplet screening platform,2018.0,Efficient molecular evolution to generate enantioselective enzymes using a dual-channel microfluidic droplet screening platform Fuqiang Ma Meng Ting Chung Yuan Yao Robert Nidetz Lap Man Lee Allen P Liu Yan Feng Katsuo Kurabayashi Guang-Yu Yang 10.1038/s41467-018-03492-6 Nature Communications Nat Commun 2041-1723 9 1 1030 2018 Springer Science and Business Media LLC,10_Yi_2021_ChemSocRev,"['Fuqiang Ma', 'Guang-Yu Yang']",Nature Communications
10.1038/s41929-018-0159-5,2,Design & Engineering,paper_only,1.0,10.1038/s41929-018-0159-5,Engineering highly functional thermostable proteins using ancestral sequence reconstruction,2018.0,Engineering highly functional thermostable proteins using ancestral sequence reconstruction Yosephin Gumulya Jong-Min Baek Shun-Jie Wun Raine E S Thomson Kurt L Harris Dominic J B Hunter 0000-0002-1826-6902 James B Y H Behrendorff 0000-0003-4130-6252 Justyna Kulig Shan Zheng Xueming Wu Bin Wu Jeanette E Stok James J De Voss 0000-0002-2659-5140 Gerhard Schenk Ulrik Jurva Shalini Andersson 0000-0002-7051-2189 Emre M Isin Mikael Bodén 0000-0003-3548-268X Luke Guddat Elizabeth M J Gillam 0000-0003-0378-793X 10.1038/s41929-018-0159-5 Nature Catalysis Nat Catal 2520-1158 1 11 2018 Springer Science and Business Media LLC,04_Winkler_2021_ACSCentSci,"['Yosephin Gumulya', 'Elizabeth M. J. Gillam']",Nature Catalysis
engineering highly functional thermostable proteins using ancestral sequence reconstruction y gumulya nat. catal 1 2018,2,Design & Engineering,union_strong,1.0,,Engineering highly functional thermostable proteins using ancestral sequence reconstruction,2018.0,Engineering highly functional thermostable proteins using ancestral sequence reconstruction Y Gumulya Nat. Catal 1 2018,03_Bell_2021_NatRevMethodsPrimers,[],Nat. Catal
enhancing protein stability with genetically encoded noncanonical amino acids j c li t liu y wang a p mehta p g schultz j. am. chem. soc 140 2018,2,Design & Engineering,union_strong,1.0,,Enhancing protein stability with genetically encoded noncanonical amino acids,2018.0,Enhancing protein stability with genetically encoded noncanonical amino acids J C Li T Liu Y Wang A P Mehta P G Schultz J. Am. Chem. Soc 140 2018,03_Bell_2021_NatRevMethodsPrimers,[],J. Am. Chem. Soc
10.1002/cbic.201800341,2,Design & Engineering,paper_only,0.818,10.1002/cbic.201800341,High‐Throughput Measurement of Small‐Molecule Enantiopurity by Using Flow Cytometry,2018.0,High‐Throughput Measurement of Small‐Molecule Enantiopurity by Using Flow Cytometry Zhesen Tan Jennifer M Heemstra 0000-0002-7691-8526 10.1002/cbic.201800341 ChemBioChem ChemBioChem 1439-4227 1439-7633 19 17 2018 Wiley,10_Yi_2021_ChemSocRev,"['Zhesen Tan', 'Jennifer M. Heemstra']",ChemBioChem
10.1016/j.sbi.2017.09.005,2,Design & Engineering,section_only,1.0,10.1016/j.sbi.2017.09.005,Laboratory evolution of protein conformational dynamics,2018.0,Laboratory evolution of protein conformational dynamics Eleanor C Campbell Galen J Correy Peter D Mabbitt Ashley M Buckle Nobuhiko Tokuriki Colin J Jackson 0000-0001-6150-3822 10.1016/j.sbi.2017.09.005 Current Opinion in Structural Biology Current Opinion in Structural Biology 0959-440X 50 2018 Elsevier BV,03_Bell_2021_NatRevMethodsPrimers,"['Eleanor C Campbell', 'Colin J Jackson']",Current Opinion in Structural Biology
10.1002/cpbi.51,2,Design & Engineering,paper_only,1.0,10.1002/cpbi.51,Non‐Coding RNA Analysis Using the Rfam Database,2018.0,Non‐Coding RNA Analysis Using the Rfam Database Ioanna Kalvari Eric P Nawrocki Joanna Argasinska Natalia Quinones‐olvera Robert D Finn Alex Bateman Anton I Petrov 10.1002/cpbi.51 Current Protocols in Bioinformatics CP in Bioinformatics 1934-3396 1934-340X 62 1 51 2018 Wiley,10_Yi_2021_ChemSocRev,"['Ioanna Kalvari', 'Anton I. Petrov']",Current Protocols in Bioinformatics
10.1039/c8cc02426j,2,Design & Engineering,section_only,1.0,10.1039/c8cc02426j,Role of conformational dynamics in the evolution of novel enzyme function,2018.0,Role of conformational dynamics in the evolution of novel enzyme function Miguel A Maria-Solano 0000-0002-7837-0429 Eila Serrano-Hervás 0000-0002-9477-0350 Adrian Romero-Rivera 0000-0002-0387-2774 Javier Iglesias-Fernández 0000-0001-7773-2945 Sílvia Osuna 0000-0003-3657-6469 10.1039/c8cc02426j Chemical Communications Chem. Commun. 1359-7345 1364-548X 54 50 2018 Royal Society of Chemistry (RSC),03_Bell_2021_NatRevMethodsPrimers;04_Winkler_2021_ACSCentSci,"['Miguel A. Maria-Solano', 'Sílvia Osuna']",Chemical Communications
10.1021/acs.biochem.7b01189,2,Design & Engineering,paper_only,1.0,10.1021/acs.biochem.7b01189,Stabilizing Leaf and Branch Compost Cutinase (LCC with Glycosylation: Mechanism and Effect on Pet Hydrolysis,2018.0,Stabilizing Leaf and Branch Compost Cutinase (LCC with Glycosylation: Mechanism and Effect on Pet Hydrolysis A N Shirke C White J A Englaender A Zwarycz G L Butterfoss R J Linhardt R A Gross 10.1021/acs.biochem.7b01189 Biochemistry 57 2018,04_Winkler_2021_ACSCentSci,"['Abhijit N. Shirke', 'Richard A. Gross']",Biochemistry
unlocked potential of dynamic elements in protein structures: channels and loops n kreß j m halder l r rapp b hauer curr. opin. chem. biol 47 2018,2,Design & Engineering,section_only,1.0,,Unlocked potential of dynamic elements in protein structures: channels and loops,2018.0,Unlocked potential of dynamic elements in protein structures: channels and loops N Kreß J M Halder L R Rapp B Hauer Curr. Opin. Chem. Biol 47 2018,03_Bell_2021_NatRevMethodsPrimers,[],Curr. Opin. Chem. Biol
10.1021/acssynbio.7b00359,2,Design & Engineering,paper_only,1.0,10.1021/acssynbio.7b00359,“Site and Mutation”-Specific Predictions Enable Minimal Directed Evolution Libraries,2018.0,“Site and Mutation”-Specific Predictions Enable Minimal Directed Evolution Libraries Jeffrey C Moore 0000-0002-9807-6315 Agustina Rodriguez-Granillo Alejandro Crespo Sridhar Govindarajan Mark Welch Kaori Hiraga Katrina Lexa Nicholas Marshall Matthew D Truppo 0000-0003-4917-7838 10.1021/acssynbio.7b00359 ACS Synthetic Biology ACS Synth. Biol. 2161-5063 7 7 2018 American Chemical Society (ACS),20_Buller_2023_Science,"['Jeffrey C Moore', 'Matthew D. Truppo']",ACS Synthetic Biology
10.1002/adsc.201900149,2,Design & Engineering,paper_only,0.736,10.1002/adsc.201900149,Can Machine Learning Revolutionize Directed Evolution of Selective Enzymes?,2019.0,Can Machine Learning Revolutionize Directed Evolution of Selective Enzymes? G Li Y Dong M T Reetz 10.1002/adsc.201900149 Adv. Synth. Catal 361 11 2019,04_Winkler_2021_ACSCentSci;10_Yi_2021_ChemSocRev,"['Guangyue Li', 'Manfred T. Reetz']",Adv. Synth. Catal
10.3390/catal9010037,2,Design & Engineering,paper_only,1.0,10.3390/catal9010037,Carboxylation of Hydroxyaromatic Compounds with HCO3− by Enzyme Catalysis: Recent Advances Open the Perspective for Valorization of Lignin-Derived Aromatics,2019.0,Carboxylation of Hydroxyaromatic Compounds with HCO3− by Enzyme Catalysis: Recent Advances Open the Perspective for Valorization of Lignin-Derived Aromatics Immacolata C Tommasi 10.3390/catal9010037 Catalysts Catalysts 2073-4344 9 1 37 2019 MDPI AG,04_Winkler_2021_ACSCentSci,['Immacolata C. Tommasi'],Catalysts
10.1093/bioinformatics/btz386,2,Design & Engineering,section_only,1.0,10.1093/bioinformatics/btz386,CaverDock: a molecular docking-based tool to analyse ligand transport through protein tunnels and channels,2019.0,CaverDock: a molecular docking-based tool to analyse ligand transport through protein tunnels and channels Ondrej Vavra Jiri Filipovic Jan Plhak David Bednar Sergio M Marques Jan Brezovsky Jan Stourac Ludek Matyska Jiri Damborsky 10.1093/bioinformatics/btz386 Bioinformatics 1367-4803 1367-4811 35 23 2019 Oxford University Press (OUP),03_Bell_2021_NatRevMethodsPrimers,"['Ondrej Vavra', 'Jiri Damborsky']",Bioinformatics
10.1038/s41929-019-0341-4,2,Design & Engineering,consensus,0.77,10.1038/s41929-019-0341-4,Chiral synthesis of LSD1 inhibitor GSK2879552 enabled by directed evolution of an imine reductase,2019.0,Chiral synthesis of LSD1 inhibitor GSK2879552 enabled by directed evolution of an imine reductase Markus Schober Chris Macdermaid Anne A Ollis Sandy Chang Diluar Khan Joseph Hosford Jonathan Latham 0000-0002-5906-9024 Leigh Anne F Ihnken Murray J B Brown 0000-0002-2393-7686 Douglas Fuerst Mahesh J Sanganee Gheorghe-Doru Roiban 0000-0002-5006-3240 10.1038/s41929-019-0341-4 Nature Catalysis Nat Catal 2520-1158 2 10 2019 Springer Science and Business Media LLC,03_Bell_2021_NatRevMethodsPrimers,"['Markus Schober', 'Gheorghe-Doru Roiban']",Nature Catalysis
10.1038/s42003-019-0505-4,2,Design & Engineering,paper_only,0.736,10.1038/s42003-019-0505-4,Cryo-EM and directed evolution reveal how Arabidopsis nitrilase specificity is influenced by its quaternary structure,2019.0,Cryo-EM and directed evolution reveal how Arabidopsis nitrilase specificity is influenced by its quaternary structure Andani E Mulelu 0000-0002-4412-270X Angela M Kirykowicz Jeremy D Woodward 0000-0002-7350-8302 10.1038/s42003-019-0505-4 Communications Biology Commun Biol 2399-3642 2 1 260 2019 Springer Science and Business Media LLC,20_Buller_2023_Science,"['Andani E. Mulelu', 'Jeremy D. Woodward']",Communications Biology
highly thermostable carboxylic acid reductases generated by ancestral sequence reconstruction a thomas r cutlan w finnigan m van der giezen n harmer commun. biol 2 2019,2,Design & Engineering,union_strong,1.0,,Highly thermostable carboxylic acid reductases generated by ancestral sequence reconstruction,2019.0,Highly thermostable carboxylic acid reductases generated by ancestral sequence reconstruction A Thomas R Cutlan W Finnigan M Van Der Giezen N Harmer Commun. Biol 2 2019,03_Bell_2021_NatRevMethodsPrimers,[],Commun. Biol
10.1073/pnas.1901979116,2,Design & Engineering,paper_only,0.625,10.1073/pnas.1901979116,Machine learning-assisted directed protein evolution with combinatorial libraries,2019.0,Machine learning-assisted directed protein evolution with combinatorial libraries Zachary Wu S B Jennifer Kan Russell D Lewis 0000-0002-5776-7347 Bruce J Wittmann Frances H Arnold 10.1073/pnas.1901979116 Proceedings of the National Academy of Sciences Proc. Natl. Acad. Sci. U.S.A. 0027-8424 1091-6490 116 18 2019 Proceedings of the National Academy of Sciences,20_Buller_2023_Science,"['Zachary Wu', 'Frances H. Arnold']",Proceedings of the National Academy of Sciences
10.1038/s41592-019-0496-6,2,Design & Engineering,paper_only,1.0,10.1038/s41592-019-0496-6,Machine-learning-guided directed evolution for protein engineering,2019.0,Machine-learning-guided directed evolution for protein engineering Kevin K Yang Zachary Wu Frances H Arnold 10.1038/s41592-019-0496-6 Nature Methods Nat Methods 1548-7091 1548-7105 16 8 2019 Springer Science and Business Media LLC,04_Winkler_2021_ACSCentSci;20_Buller_2023_Science,"['Kevin K. Yang', 'Frances H. Arnold']",Nature Methods
machine-learningguided directed evolution for protein engineering k k yang z wu f h arnold nat. methods 16 2019,2,Design & Engineering,union_strong,1.0,,Machine-learningguided directed evolution for protein engineering,2019.0,Machine-learningguided directed evolution for protein engineering K K Yang Z Wu F H Arnold Nat. Methods 16 2019,03_Bell_2021_NatRevMethodsPrimers,[],Nat. Methods
10.1002/anie.201905505,2,Design & Engineering,paper_only,1.0,10.1002/anie.201905505,Molecular and Structural Characterization of a Promiscuous <i>C</i>‐Glycosyltransferase from <i>Trollius chinensis</i>,2019.0,Molecular and Structural Characterization of a Promiscuous <i>C</i>‐Glycosyltransferase from <i>Trollius chinensis</i> Jun‐bin He Peng Zhao Zhi‐min Hu Shuang Liu Yi Kuang Meng Zhang Bin Li Cai‐hong Yun 0000-0002-5880-8307 Xue Qiao 0000-0002-8771-7877 Min Ye 0000-0002-9952-2380 10.1002/anie.201905505 Angewandte Chemie International Edition Angew Chem Int Ed 1433-7851 1521-3773 58 33 2019 Wiley,10_Yi_2021_ChemSocRev,"['Jun‐Bin He', 'Min Ye']",Angewandte Chemie International Edition
p450 monooxygenases enable rapid late-stage diversification of natural products via c-h bond activation n d fessner chemcatchem 11 2019,2,Design & Engineering,union_strong,1.0,,P450 monooxygenases enable rapid late-stage diversification of natural products via C-H bond activation,2019.0,P450 monooxygenases enable rapid late-stage diversification of natural products via C-H bond activation N D Fessner ChemCatChem 11 2019,03_Bell_2021_NatRevMethodsPrimers,[],ChemCatChem
10.1002/cctc.201801856,2,Design & Engineering,paper_only,1.0,10.1002/cctc.201801856,Structure and Catalytic Mechanism of a Bacterial Friedel-Crafts Acylase,2019.0,Structure and Catalytic Mechanism of a Bacterial Friedel-Crafts Acylase T Pavkov-Keller N G Schmidt A Zadlo-Dobrowolska W Kroutil K Gruber A Zadlo-Dobrowolska N G Schmidt W Kroutil 10.1002/cctc.201801856 Thioesters as Acyl Donors in Biocatalytic Friedel-Crafts-Type Acylation Catalyzed by Acyltransferase from Pseudomonas Protegens 2019. 2019 20 ChemCatChem,04_Winkler_2021_ACSCentSci,"['Anna Żądło‐Dobrowolska', 'Wolfgang Kroutil']",Thioesters as Acyl Donors in Biocatalytic Friedel-Crafts-Type Acylation Catalyzed by Acyltransferase from Pseudomonas Protegens
this article is a recent example of using non-canonical amino acids in protein evolution to obtain new enzyme activities a j burke nature 570 2019 design and evolution of an enzyme with a non-canonical organocatalytic mechanism,2,Design & Engineering,section_only,1.0,,This article is a recent example of using non-canonical amino acids in protein evolution to obtain new enzyme activities,2019.0,This article is a recent example of using non-canonical amino acids in protein evolution to obtain new enzyme activities A J Burke Nature 570 2019 Design and evolution of an enzyme with a non-canonical organocatalytic mechanism,03_Bell_2021_NatRevMethodsPrimers,[],Nature
"trapping biosynthetic acyl-enzyme intermediates with encoded 2,3-diaminopropionic acid n huguenin-dezot nature 565 2019",2,Design & Engineering,section_only,1.0,,"Trapping biosynthetic acyl-enzyme intermediates with encoded 2,3-diaminopropionic acid",2019.0,"Trapping biosynthetic acyl-enzyme intermediates with encoded 2,3-diaminopropionic acid N Huguenin-Dezot Nature 565 2019",03_Bell_2021_NatRevMethodsPrimers,[],Nature
ultrahigh-throughput screening enables efficient single-round oxidase remodelling a debon nat. catal 2 2019,2,Design & Engineering,section_only,1.0,,Ultrahigh-throughput screening enables efficient single-round oxidase remodelling,2019.0,Ultrahigh-throughput screening enables efficient single-round oxidase remodelling A Debon Nat. Catal 2 2019,03_Bell_2021_NatRevMethodsPrimers,[],Nat. Catal
ancestral resurrection and directed evolution of fungal mesozoic laccases b j gomez-fernandez v a risso a rueda j m sanchez-ruiz m alcalde appl. environ. microbiol 86 2020,2,Design & Engineering,union_strong,1.0,,Ancestral resurrection and directed evolution of fungal mesozoic laccases,2020.0,Ancestral resurrection and directed evolution of fungal mesozoic laccases B J Gomez-Fernandez V A Risso A Rueda J M Sanchez-Ruiz M Alcalde Appl. Environ. Microbiol 86 2020,03_Bell_2021_NatRevMethodsPrimers,[],Appl. Environ. Microbiol
ancestral-sequence reconstruction unveils the structural basis of function in mammalian fmos c r nicoll nat. struct. mol. biol 27 2020,2,Design & Engineering,union_strong,1.0,,Ancestral-sequence reconstruction unveils the structural basis of function in mammalian FMOs,2020.0,Ancestral-sequence reconstruction unveils the structural basis of function in mammalian FMOs C R Nicoll Nat. Struct. Mol. Biol 27 2020,03_Bell_2021_NatRevMethodsPrimers,[],Nat. Struct. Mol. Biol
10.1098/rsta.2019.0274,2,Design & Engineering,paper_only,1.0,10.1098/rsta.2019.0274,Biocatalysis and biomass conversion: enabling a circular economy,2020.0,"Biocatalysis and biomass conversion: enabling a circular economy Roger A Sheldon 0000-0001-6867-2119 10.1098/rsta.2019.0274 Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences Phil. Trans. R. Soc. A. 1364-503X 1471-2962 378 2176 20190274 2020. 20190274 The Royal Society",04_Winkler_2021_ACSCentSci,['Roger A. Sheldon'],"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences"
10.1002/biot.201900432,2,Design & Engineering,paper_only,0.556,10.1002/biot.201900432,"Biotechnological Production of Flavonoids: An Update on Plant Metabolic Engineering, Microbial Host Selection, and Genetically Encoded Biosensors",2020.0,"Biotechnological Production of Flavonoids: An Update on Plant Metabolic Engineering, Microbial Host Selection, and Genetically Encoded Biosensors Monireh Marsafari 0000-0002-3190-3822 Habibollah Samizadeh Babak Rabiei Aliashraf Mehrabi Mattheos Koffas Peng Xu 10.1002/biot.201900432 Biotechnology Journal Biotechnology Journal 1860-6768 1860-7314 15 8 15 2020. 1900432 Wiley",10_Yi_2021_ChemSocRev,"['Monireh Marsafari', 'Peng Xu']",Biotechnology Journal
broadening the scope of biocatalytic c-c bond formation l e zetzsche a r h narayan nat. rev. chem 4 2020,2,Design & Engineering,section_only,1.0,,Broadening the scope of biocatalytic C-C bond formation,2020.0,Broadening the scope of biocatalytic C-C bond formation L E Zetzsche A R H Narayan Nat. Rev. Chem 4 2020,03_Bell_2021_NatRevMethodsPrimers,[],Nat. Rev. Chem
combinatorial approach for exploring conformational space and activation barriers in computer-aided enzyme design d mondal v kolev a warshel acs catal 10 2020,2,Design & Engineering,section_only,1.0,,Combinatorial approach for exploring conformational space and activation barriers in computer-aided enzyme design,2020.0,Combinatorial approach for exploring conformational space and activation barriers in computer-aided enzyme design D Mondal V Kolev A Warshel ACS Catal 10 2020,03_Bell_2021_NatRevMethodsPrimers,[],ACS Catal
designing for a green chemistry future j b zimmerman p t anastas h c erythropel w leitner science 367 2020,2,Design & Engineering,union_strong,1.0,,Designing for a green chemistry future,2020.0,Designing for a green chemistry future J B Zimmerman P T Anastas H C Erythropel W Leitner Science 367 2020,03_Bell_2021_NatRevMethodsPrimers,[],Science
10.1021/acscatal.9b04691,2,Design & Engineering,paper_only,1.0,10.1021/acscatal.9b04691,Directed Evolution of an Fe<sup>II</sup>-Dependent Halogenase for Asymmetric C(sp<sup>3</sup>)–H Chlorination,2020.0,Directed Evolution of an Fe<sup>II</sup>-Dependent Halogenase for Asymmetric C(sp<sup>3</sup>)–H Chlorination Sabine Duewel Luca Schmermund 0000-0002-5820-2647 Tabea Faber Klaus Harms Vasundara Srinivasan Eric Meggers 0000-0002-8851-7623 Sabrina Hoebenreich 0000-0002-4715-7123 10.1021/acscatal.9b04691 ACS Catalysis ACS Catal. 2155-5435 10 2 2020 American Chemical Society (ACS),20_Buller_2023_Science,"['Sabine Duewel', 'Sabrina Hoebenreich']",ACS Catalysis
10.1038/s41929-019-0385-5,2,Design & Engineering,section_only,1.0,10.1038/s41929-019-0385-5,Engineering New Catalytic Activities in Enzymes,2020.0,Engineering New Catalytic Activities in Enzymes K Chen F H Arnold 10.1038/s41929-019-0385-5 Nat. Catal 3 2020,04_Winkler_2021_ACSCentSci;20_Buller_2023_Science,"['Kai Chen', 'Frances H. Arnold']",Nat. Catal
engineering cytochrome p450 enzyme systems for biomedical and biotechnological applications z li j. biol. chem 295 2020,2,Design & Engineering,section_only,1.0,,Engineering cytochrome P450 enzyme systems for biomedical and biotechnological applications,2020.0,Engineering cytochrome P450 enzyme systems for biomedical and biotechnological applications Z Li J. Biol. Chem 295 2020,03_Bell_2021_NatRevMethodsPrimers,[],J. Biol. Chem
harnessing conformational plasticity to generate designer enzymes r m crean j m gardner s c l kamerlin j. am. chem. soc 142 2020,2,Design & Engineering,section_only,1.0,,Harnessing conformational plasticity to generate designer enzymes,2020.0,Harnessing conformational plasticity to generate designer enzymes R M Crean J M Gardner S C L Kamerlin J. Am. Chem. Soc 142 2020,03_Bell_2021_NatRevMethodsPrimers,[],J. Am. Chem. Soc
how directed evolution reshapes the energy landscape in an enzyme to boost catalysis r otten science 370 2020,2,Design & Engineering,consensus,1.0,,How directed evolution reshapes the energy landscape in an enzyme to boost catalysis,2020.0,How directed evolution reshapes the energy landscape in an enzyme to boost catalysis R Otten Science 370 2020,03_Bell_2021_NatRevMethodsPrimers,[],Science
10.1002/cctc.202000422,2,Design & Engineering,paper_only,0.5,10.1002/cctc.202000422,How to Engineer Organic Solvent Resistant Enzymes: Insights from Combined Molecular Dynamics and Directed Evolution Study,2020.0,How to Engineer Organic Solvent Resistant Enzymes: Insights from Combined Molecular Dynamics and Directed Evolution Study H Cui T H J Stadtmuller Q Jiang K E Jaeger U Schwaneberg M D Davari 10.1002/cctc.202000422 ChemCatChem 12 2020,04_Winkler_2021_ACSCentSci,"['Haiyang Cui', 'Mehdi D. Davari']",ChemCatChem
10.1371/journal.pone.0235341,2,Design & Engineering,union_strong,1.0,10.1371/journal.pone.0235341,Larger active site in an ancestral hydroxynitrile lyase increases catalytically promiscuous esterase activity,2020.0,Larger active site in an ancestral hydroxynitrile lyase increases catalytically promiscuous esterase activity Bryan J Jones 0000-0002-9863-7119 Robert L Evans 0000-0002-1690-9927 Nathan J Mylrea Debayan Chaudhury Christine Luo Bo Guan 0000-0001-7014-9941 Colin T Pierce 0000-0001-9506-9753 Wendy R Gordon 0000-0001-7696-5560 Carrie M Wilmot 0000-0002-8706-0000 Romas J Kazlauskas 0000-0002-3570-2411 10.1371/journal.pone.0235341 PLOS ONE PLoS ONE 1932-6203 15 6 e0235341 2020 Public Library of Science (PLoS),11_Hanefeld_2022_ChemSocRev,"['Bryan J. Jones', 'Romas J. Kazlauskas']",PLOS ONE
"late-stage lead diversification coupled with quantitative nuclear magnetic resonance spectroscopy to identify new structure-activity relationship vectors at nanomole-scale synthesis: application to loratadine, a human histamine h1 receptor inverse agonist m s lall j. med. chem 63 2020",2,Design & Engineering,union_strong,1.0,,"Late-stage lead diversification coupled with quantitative nuclear magnetic resonance spectroscopy to identify new structure-activity relationship vectors at nanomole-scale synthesis: application to loratadine, a human histamine H1 receptor inverse agonist",2020.0,"Late-stage lead diversification coupled with quantitative nuclear magnetic resonance spectroscopy to identify new structure-activity relationship vectors at nanomole-scale synthesis: application to loratadine, a human histamine H1 receptor inverse agonist M S Lall J. Med. Chem 63 2020",03_Bell_2021_NatRevMethodsPrimers,[],J. Med. Chem
10.1002/cctc.202001107,2,Design & Engineering,union_strong,1.0,10.1002/cctc.202001107,Looking Back: A Short History of the Discovery of Enzymes and How They Became Powerful Chemical Tools,2020.0,Looking Back: A Short History of the Discovery of Enzymes and How They Became Powerful Chemical Tools C M Heckmann F Paradisi 10.1002/cctc.202001107 ChemCatChem 12 6082 2020,04_Winkler_2021_ACSCentSci,"['Christian M. Heckmann', 'Francesca Paradisi']",ChemCatChem
10.1101/2020.12.04.408955,2,Design & Engineering,paper_only,0.788,10.1101/2020.12.04.408955,Machine Learning-Assisted Directed Evolution Navigates a Combinatorial Epistatic Fitness Landscape with Minimal Screening Burden,2020.0,Machine Learning-Assisted Directed Evolution Navigates a Combinatorial Epistatic Fitness Landscape with Minimal Screening Burden Bruce J Wittmann 0000-0001-8144-9157 Yisong Yue 0000-0001-9127-1989 Frances H Arnold 0000-0002-4027-364X 10.1101/2020.12.04.408955 bioRxiv 2020 Cold Spring Harbor Laboratory,10_Yi_2021_ChemSocRev,"['Bruce J. Wittmann', 'Frances H. Arnold']",bioRxiv
manipulating conformational dynamics to repurpose ancient proteins for modern catalytic functions j m gardner m biler v a risso j m sanchez-ruiz s c l kamerlin acs catal 10 2020,2,Design & Engineering,section_only,1.0,,Manipulating conformational dynamics to repurpose ancient proteins for modern catalytic functions,2020.0,Manipulating conformational dynamics to repurpose ancient proteins for modern catalytic functions J M Gardner M Biler V A Risso J M Sanchez-Ruiz S C L Kamerlin ACS Catal 10 2020,03_Bell_2021_NatRevMethodsPrimers,[],ACS Catal
10.1021/acscatal.9b04208,2,Design & Engineering,paper_only,1.0,10.1021/acscatal.9b04208,Mechanism of Biocatalytic Friedel-Crafts Acylation by Acyltransferase from Pseudomonas Protegens,2020.0,Mechanism of Biocatalytic Friedel-Crafts Acylation by Acyltransferase from Pseudomonas Protegens X Sheng M Kazemi A Zadlo-Dobrowolska W Kroutil F Himo 10.1021/acscatal.9b04208 ACS Catal 10 2020,04_Winkler_2021_ACSCentSci,"['Xiang Sheng', 'Fahmi Himo']",ACS Catal
10.1016/j.pbi.2020.01.005,2,Design & Engineering,paper_only,1.0,10.1016/j.pbi.2020.01.005,More is better: the diversity of terpene metabolism in plants,2020.0,More is better: the diversity of terpene metabolism in plants Fei Zhou Eran Pichersky 10.1016/j.pbi.2020.01.005 Current Opinion in Plant Biology Current Opinion in Plant Biology 1369-5266 55 2020 Elsevier BV,10_Yi_2021_ChemSocRev,"['Fei Zhou', 'Eran Pichersky']",Current Opinion in Plant Biology
10.1002/cctc.202000933,2,Design & Engineering,paper_only,0.519,10.1002/cctc.202000933,Predicting protein stability and solubility changes upon mutations: data perspective,2020.0,Predicting protein stability and solubility changes upon mutations: data perspective Stanislav Mazurenko 0000-0003-3659-4819 10.1002/cctc.202000933 ChemCatChem ChemCatChem 1867-3880 1867-3899 12 22 2020 Wiley,10_Yi_2021_ChemSocRev,['Stanislav Mazurenko'],ChemCatChem
rewiring the 'push-pull' catalytic machinery of a heme enzyme using an expanded genetic code m ortmayer acs catal 10 2020,2,Design & Engineering,section_only,1.0,,Rewiring the 'push-pull' catalytic machinery of a heme enzyme using an expanded genetic code,2020.0,Rewiring the 'push-pull' catalytic machinery of a heme enzyme using an expanded genetic code M Ortmayer ACS Catal 10 2020,03_Bell_2021_NatRevMethodsPrimers,[],ACS Catal
static to inducibly dynamic stereocontrol: the convergent use of racemic β-substituted ketones j s dehovitz science 369 2020,2,Design & Engineering,section_only,1.0,,Static to inducibly dynamic stereocontrol: the convergent use of racemic β-substituted ketones,2020.0,Static to inducibly dynamic stereocontrol: the convergent use of racemic β-substituted ketones J S Dehovitz Science 369 2020,03_Bell_2021_NatRevMethodsPrimers,[],Science
10.1002/anie.201901491,2,Design & Engineering,paper_only,1.0,10.1002/anie.201901491,The Crucial Role of Methodology Development in Directed Evolution of Selective Enzymes,2020.0,"The Crucial Role of Methodology Development in Directed Evolution of Selective Enzymes G Qu A Li C G Acevedo-Rocha Z Sun M T Reetz 10.1002/anie.201901491 Angew. Chem., Int. Ed 59 2020",04_Winkler_2021_ACSCentSci,"['Ge Qu', 'Manfred T. Reetz']","Angew. Chem., Int. Ed"
the crucial role of methodology development in directed evolution of selective enzymes g qu a li c g acevedo-rocha z sun m t reetz angew. chem. int. ed 59 2020,2,Design & Engineering,consensus,1.0,,The crucial role of methodology development in directed evolution of selective enzymes,2020.0,The crucial role of methodology development in directed evolution of selective enzymes G Qu A Li C G Acevedo-Rocha Z Sun M T Reetz Angew. Chem. Int. Ed 59 2020,03_Bell_2021_NatRevMethodsPrimers,[],Angew. Chem. Int. Ed
this article applies droplet sorting as one of the most successful methods for ultra-high-throughput screening of enzyme libraries d a holland-moritz angew. chem. int. ed 59 2020 mass activated droplet sorting (mads) enables high-throughput screening of enzymatic reactions at nanoliter scale,2,Design & Engineering,section_only,0.554,,This article applies droplet sorting as one of the most successful methods for ultra-high-throughput screening of enzyme libraries,2020.0,This article applies droplet sorting as one of the most successful methods for ultra-high-throughput screening of enzyme libraries D A Holland-Moritz Angew. Chem. Int. Ed 59 2020 Mass activated droplet sorting (MADS) enables high-throughput screening of enzymatic reactions at nanoliter scale,03_Bell_2021_NatRevMethodsPrimers,[],Angew. Chem. Int. Ed
